name = gotic_15_5_40_ex3;
nbCMP= 5;
speed = 50;
tics_data = {
 < TIC_1 26 41 480 1080 {1 2 3 } >
 < TIC_2 43 64 480 1080 {1 2 4 5 } >
 < TIC_3 32 76 480 1080 {1 3 5 } >
 < TIC_4 14 81 480 1080 {1 } >
 < TIC_5 45 22 480 1080 {2 5 } >
 < TIC_6 45 71 480 1080 {2 4 } >
 < TIC_7 13 56 480 1080 {1 2 3 5 } >
 < TIC_8 88 49 480 1080 {2 3 4 } >
 < TIC_9 56 47 480 1080 {1 2 3 4 5 } >
 < TIC_10 19 10 480 1080 {1 2 5 } >
 < TIC_11 35 75 480 1080 {3 5 } >
 < TIC_12 88 82 480 1080 {2 3 4 } >
 < TIC_13 58 68 480 1080 {4 5 } >
 < TIC_14 65 36 480 1080 {1 2 3 } >
 < TIC_15 60 52 480 1080 {1 2 3 } >
};
jobs_data = {
 < JOB_1 74 85 570 749 5 60 1 100000>
 < JOB_2 72 17 0 1469 3 30 0 100000>
 < JOB_3 89 66 660 839 4 60 1 100000>
 < JOB_4 77 35 750 899 3 30 1 100000>
 < JOB_5 37 67 840 929 3 30 1 100000>
 < JOB_6 44 99 660 779 2 30 1 100000>
 < JOB_7 2 69 570 689 5 60 1 100000>
 < JOB_8 17 54 690 839 2 30 1 100000>
 < JOB_9 17 81 780 959 2 60 1 100000>
 < JOB_10 35 79 750 869 5 60 1 100000>
 < JOB_11 19 79 570 659 1 60 1 100000>
 < JOB_12 53 13 840 899 5 60 1 100000>
 < JOB_13 71 2 540 599 1 30 1 100000>
 < JOB_14 54 77 690 839 3 30 1 100000>
 < JOB_15 20 90 540 659 3 60 1 100000>
 < JOB_16 60 54 750 839 3 60 1 100000>
 < JOB_17 43 67 0 1469 5 60 0 100000>
 < JOB_18 55 35 750 869 4 60 1 100000>
 < JOB_19 82 52 660 779 4 30 1 100000>
 < JOB_20 98 32 570 749 5 30 1 100000>
 < JOB_21 88 31 600 689 5 60 1 100000>
 < JOB_22 64 9 600 779 1 60 1 100000>
 < JOB_23 94 74 690 809 2 60 1 100000>
 < JOB_24 64 58 690 749 4 60 1 100000>
 < JOB_25 100 71 750 899 1 30 1 100000>
 < JOB_26 12 86 570 719 1 60 1 100000>
 < JOB_27 7 30 900 989 2 30 1 100000>
 < JOB_28 82 77 540 599 2 60 1 100000>
 < JOB_29 34 63 690 749 1 60 1 100000>
 < JOB_30 24 72 870 1049 3 30 1 100000>
 < JOB_31 67 46 630 719 3 30 1 100000>
 < JOB_32 84 75 540 689 4 30 1 100000>
 < JOB_33 67 80 540 659 3 30 1 100000>
 < JOB_34 13 51 870 1019 4 60 1 100000>
 < JOB_35 42 64 0 1469 4 30 0 100000>
 < JOB_36 29 72 540 689 3 30 1 100000>
 < JOB_37 62 50 990 1049 2 30 1 100000>
 < JOB_38 44 45 900 989 1 30 1 100000>
 < JOB_39 46 39 690 779 3 60 1 100000>
 < JOB_40 8 43 600 749 4 30 1 100000>
};
